(MA-99-3a) Population Estimates for Metropolitan Areas and Components, Annual Time Series
           April 1, 1990 to July 1, 1999 (includes April 1, 1990 Population Estimates Base)
     
Source:   Population Estimates Program, Population Division, U.S. Census Bureau, Washington, DC 20233
Contact:  Statistical Information Staff, Population Division, U.S. Census Bureau (301-457-2422)
          pop@census.gov (Please include a telephone number with email correspondence.)
     
Internet Release Date:  October 20, 2000
     
Block 1 of 2:  Population Estimates for the Years 1994-1999

                                                --------------------------Estimated Population--------------------------
Area Name                                             7/1/99      7/1/98      7/1/97      7/1/96      7/1/95      7/1/94
  Madison County, GA............................      25,208      24,426      24,171      23,894      23,392      22,814
  Oconee County, GA.............................      24,526      23,707      23,187      22,377      21,237      20,242
Atlanta, GA MSA.................................   3,857,097   3,744,022   3,632,206   3,531,390   3,430,377   3,329,074
  Barrow County, GA.............................      41,891      40,438      38,909      37,435      35,706      34,440
  Bartow County, GA.............................      74,607      71,937      69,216      66,231      63,620      61,497
  Carroll County, GA............................      84,765      82,904      81,124      79,545      77,898      76,452
  Cherokee County, GA...........................     141,686     134,352     127,110     121,187     114,743     108,930
  Clayton County, GA............................     213,727     208,997     204,800     201,748     198,397     194,809
  Cobb County, GA...............................     583,541     566,060     551,288     536,992     524,760     508,747
  Coweta County, GA.............................      89,401      85,118      80,740      76,420      72,072      67,919
  DeKalb County, GA.............................     596,853     592,870     590,443     587,594     582,953     576,469
  Douglas County, GA............................      91,175      89,398      86,633      84,290      81,732      79,735
  Fayette County, GA............................      92,378      88,733      85,050      81,796      78,573      75,711
  Forsyth County, GA............................      96,686      86,409      76,333      69,137      62,225      56,895
  Fulton County, GA.............................     744,827     737,222     723,708     714,882     700,739     691,155
  Gwinnett County, GA...........................     545,632     522,666     500,644     476,790     457,155     433,710
  Henry County, GA..............................     113,443     104,925      97,731      90,954      84,589      78,890
  Newton County, GA.............................      60,583      57,862      55,216      52,758      50,486      48,318
  Paulding County, GA...........................      79,587      73,888      68,829      63,966      59,732      55,681
  Pickens County, GA............................      21,024      19,733      18,605      17,586      16,759      16,201
  Rockdale County, GA...........................      68,968      68,278      66,956      65,389      64,305      61,905
  Spalding County, GA...........................      57,825      57,603      57,442      57,394      57,017      56,799
  Walton County, GA.............................      58,498      54,629      51,429      49,296      46,916      44,811
Auburn-Opelika, AL MSA..........................     102,164     100,481      98,438      95,402      93,802      91,656
  Lee County, AL................................     102,164     100,481      98,438      95,402      93,802      91,656
Augusta-Aiken, GA-SC MSA........................     460,826     457,939     454,953     451,868     451,770     447,737
  Columbia County, GA...........................      93,312      90,854      88,695      86,087      83,954      80,051
  McDuffie County, GA...........................      21,814      21,697      21,586      21,377      21,407      21,115
  Richmond County, GA...........................     190,310     191,374     191,680     192,397     194,569     195,976
  Aiken County, SC..............................     135,401     134,008     133,270     132,409     132,347     131,485
  Edgefield County, SC..........................      19,989      20,006      19,722      19,598      19,493      19,110
Austin-San Marcos, TX MSA.......................   1,146,050   1,104,612   1,067,953   1,036,319   1,001,054     964,803
  Bastrop County, TX............................      52,561      50,438      48,834      46,894      44,353      42,315
  Caldwell County, TX...........................      32,820      32,023      31,282      30,447      29,635      28,129
  Hays County, TX...............................      92,755      89,304      85,580      81,705      78,389      74,337
  Travis County, TX.............................     727,022     709,182     691,965     679,461     665,302     647,304
  Williamson County, TX.........................     240,892     223,665     210,292     197,812     183,375     172,718
Bakersfield, CA MSA.............................     642,495     631,615     624,577     618,020     612,897     608,858
  Kern County, CA...............................     642,495     631,615     624,577     618,020     612,897     608,858
Bangor, ME MSA..................................      91,672      91,619      91,935      92,342      92,606      93,085
  Penobscot County (pt.)........................      87,555      87,606      88,014      88,505      88,866      89,464
      Bangor city, ME...........................      32,662      32,815      33,124      33,388      33,810      34,286
      Brewer city, ME...........................       8,915       8,942       9,014       9,068       9,103       9,170
      Eddington town, ME........................       2,013       2,008       2,018       2,022       2,021       2,027
      Glenburn town, ME.........................       2,523       2,483       2,449       2,412       2,374       2,331
      Hampden town, ME..........................       6,509       6,502       6,533       6,555       6,585       6,599
      Hermon town, ME...........................       4,062       3,996       3,976       3,947       3,918       3,869
      Holden town, ME...........................       2,894       2,862       2,849       2,838       2,834       2,839
      Kenduskeag town, ME.......................       1,231       1,224       1,224       1,224       1,220       1,218
      Milford town, ME..........................       2,862       2,846       2,845       2,840       2,829       2,834
      Old Town city, ME.........................       8,001       8,034       8,126       8,195       8,257       8,328
      Orono town, ME............................      10,432      10,460      10,401      10,554      10,455      10,511
      Orrington town, ME........................       3,393       3,373       3,381       3,378       3,368       3,351
      Penobscot Indian Island Indian Reservation         400         402         404         409         413         420
      Veazie town, ME...........................       1,658       1,659       1,670       1,675       1,679       1,681
  Waldo County (pt.)............................       4,117       4,013       3,921       3,837       3,740       3,621
      Winterport town, ME.......................       4,117       4,013       3,921       3,837       3,740       3,621
Barnstable-Yarmouth, MA MSA.....................     153,750     150,808     148,409     146,402     143,937     141,366
  Barnstable County (pt.).......................     153,750     150,808     148,409     146,402     143,937     141,366
      Barnstable city, MA.......................      46,067      45,366      44,727      44,195      43,415      42,768
      Brewster town, MA.........................       9,879       9,619       9,429       9,237       9,044       8,836
      Chatham town, MA..........................       7,215       7,097       7,007       6,935       6,851       6,759
      Dennis town, MA...........................      14,864      14,707      14,566      14,446      14,270      14,110
      Eastham town, MA..........................       5,153       5,026       4,929       4,860       4,789       4,706
      Harwich town, MA..........................      12,063      11,800      11,564      11,380      11,201      10,995
      Mashpee town, MA..........................       9,784       9,429       9,200       9,014       8,814       8,564
      Orleans town, MA..........................       6,445       6,340       6,246       6,168       6,078       5,991
      Sandwich town, MA.........................      19,189      18,686      18,243      17,877      17,424      16,835
      Yarmouth town, MA.........................      23,091      22,738      22,498      22,290      22,051      21,802
Baton Rouge, LA MSA.............................     578,946     574,226     570,083     565,519     561,662     557,203
  Ascension Parish, LA..........................      74,049      71,679      69,961      67,641      65,761      63,925
  East Baton Rouge Parish, LA...................     393,294     393,656     394,195     394,756     395,514     395,494
  Livingston Parish, LA.........................      91,182      88,274      85,537      82,642      80,136      77,747
  West Baton Rouge Parish, LA...................      20,421      20,617      20,390      20,480      20,251      20,037
Beaumont-Port Arthur, TX MSA....................     376,256     375,135     374,588     373,869     374,916     373,526
  Hardin County, TX.............................      49,684      49,147      48,646      47,359      46,453      45,617
  Jefferson County, TX..........................     241,332     241,219     241,406     242,451     244,420     243,995
  Orange County, TX.............................      85,240      84,769      84,536      84,059      84,043      83,914
Bellingham, WA MSA..............................     160,310     157,244     154,892     152,381     149,088     145,783
  Whatcom County, WA............................     160,310     157,244     154,892     152,381     149,088     145,783
Benton Harbor, MI MSA...........................     159,709     159,831     160,398     161,132     161,546     161,167
  Berrien County, MI............................     159,709     159,831     160,398     161,132     161,546     161,167
Billings, MT MSA................................     127,258     126,237     125,959     125,551     124,463     122,659
  Yellowstone County, MT........................     127,258     126,237     125,959     125,551     124,463     122,659
Biloxi-Gulfport-Pascagoula, MS MSA..............     353,205     348,264     344,630     341,473     341,396     337,208
  Hancock County, MS............................      41,518      40,271      39,330      38,364      37,422      36,489
  Harrison County, MS...........................     178,567     177,194     176,300     175,255     175,876     174,620
  Jackson County, MS............................     133,120     130,799     129,000     127,854     128,098     126,099
Binghamton, NY MSA..............................     247,462     248,959     250,447     253,392     257,231     261,712
  Broome County, NY.............................     195,246     196,531     198,080     200,930     204,492     208,342
  Tioga County, NY..............................      52,216      52,428      52,367      52,462      52,739      53,370
Birmingham, AL MSA..............................     915,077     909,202     901,552     895,457     888,812     880,360
  Blount County, AL.............................      47,411      46,292      44,897      43,544      42,586      41,363
  Jefferson County, AL..........................     657,422     660,039     660,202     662,376     663,092     662,990
  St. Clair County, AL..........................      63,852      62,018      60,648      59,380      57,812      56,018
  Shelby County, AL.............................     146,392     140,853     135,805     130,157     125,322     119,989
Bismarck, ND MSA................................      91,939      91,513      90,748      90,057      88,994      87,916
  Burleigh County, ND...........................      67,371      66,906      66,340      65,685      64,671      63,911
  Morton County, ND.............................      24,568      24,607      24,408      24,372      24,323      24,005
Bloomington, IN MSA.............................     116,923     116,569     115,926     115,077     114,491     113,712
  Monroe County, IN.............................     116,923     116,569     115,926     115,077     114,491     113,712
Bloomington-Normal, IL MSA......................     145,477     143,366     141,699     140,183     139,209     136,752
  McLean County, IL.............................     145,477     143,366     141,699     140,183     139,209     136,752
Boise City, ID MSA..............................     407,844     396,008     383,555     372,596     360,785     347,991
  Ada County, ID................................     283,402     275,623     267,005     260,147     251,861     243,306
  Canyon County, ID.............................     124,442     120,385     116,550     112,449     108,924     104,685
Boston-Worcester-Lawrence, MA-NH-ME-CT CMSA.....   5,667,225   5,630,164   5,594,210   5,556,218   5,523,172   5,485,309
  Boston, MA-NH PMSA............................   3,297,201   3,285,387   3,272,050   3,257,436   3,245,693   3,223,127
    Bristol County, MA (pt.)....................     100,565      99,411      98,413      97,638      96,844      95,632
      Berkley town, MA..........................       5,492       5,406       5,320       5,227       5,097       4,882
      Dighton town, MA..........................       5,954       5,901       5,860       5,827       5,797       5,743
      Mansfield town, MA........................      19,741      19,386      19,127      18,935      18,643      18,226
      Norton town, MA...........................      16,271      16,024      15,773      15,570      15,417      15,182
      Taunton city, MA..........................      53,107      52,694      52,333      52,079      51,890      51,599
    Essex County, MA (pt.)......................     444,532     442,852     439,583     436,778     434,162     431,381
      Amesbury town, MA.........................      16,142      16,018      15,850      15,714      15,537      15,303
      Beverly city, MA..........................      39,113      39,032      38,830      38,547      38,435      38,148
      Danvers town, MA..........................      25,504      25,254      24,823      24,571      24,382      24,208
      Essex town, MA............................       3,418       3,405       3,385       3,363       3,337       3,315
      Gloucester city, MA.......................      29,744      29,668      29,479      29,341      29,181      28,978
      Hamilton town, MA.........................       7,576       7,569       7,536       7,503       7,462       7,405
      Ipswich town, MA..........................      12,758      12,629      12,460      12,322      12,183      12,058
      Lynn city, MA.............................      80,985      81,058      80,867      80,686      80,473      80,451
      Lynnfield town, MA........................      11,444      11,409      11,334      11,273      11,190      11,105
      Manchester-by-the-Sea town, MA............       5,521       5,503       5,436       5,391       5,363       5,347
      Marblehead town, MA.......................      20,068      20,041      19,955      19,891      19,817      19,747
      Middleton town, MA........................       6,183       5,999       5,771       5,586       5,399       5,196
      Nahant town, MA...........................       3,761       3,765       3,755       3,749       3,743       3,743
      Newbury town, MA..........................       6,186       6,140       6,036       5,960       5,888       5,801
      Newburyport city, MA......................      16,874      16,788      16,673      16,569      16,461      16,353
      Peabody city, MA..........................      49,212      49,048      48,645      48,313      47,983      47,538
      Rockport town, MA.........................       7,684       7,655       7,617       7,585       7,539       7,506
      Rowley town, MA...........................       5,465       5,330       5,248       5,189       5,118       5,026
      Salem city, MA............................      38,341      38,323      38,173      38,052      37,948      37,864
      Salisbury town, MA........................       7,274       7,223       7,140       7,072       6,992       6,925
      Saugus town, MA...........................      26,802      26,689      26,479      26,317      26,166      25,987
      Swampscott town, MA.......................      13,768      13,692      13,571      13,517      13,459      13,407
      Topsfield town, MA........................       6,131       6,070       6,007       5,876       5,731       5,641
      Wenham town, MA...........................       4,578       4,544       4,513       4,391       4,375       4,329
    Middlesex County, MA (pt.)..................   1,137,685   1,135,435   1,132,160   1,127,634   1,123,237   1,120,218
      Acton town, MA............................      19,332      19,156      18,977      18,758      18,480      18,227
      Arlington town, MA........................      43,298      43,452      43,574      43,559      43,551      43,728
      Ashland town, MA..........................      13,845      13,519      13,223      12,966      12,753      12,598
      Ayer town, MA.............................       7,604       7,466       7,398       7,306       7,256       7,080
      Bedford town, MA..........................      13,799      13,735      13,677      13,473      13,381      13,259
      Belmont town, MA..........................      23,750      23,821      23,893      23,902      23,927      24,034
      Boxborough town, MA.......................       4,132       4,056       3,947       3,868       3,782       3,619
      Burlington town, MA.......................      23,637      23,517      23,411      23,262      23,106      23,039
      Cambridge city, MA........................      92,942      93,238      93,521      93,554      93,777      94,167
      Carlisle town, MA.........................       4,808       4,741       4,646       4,577       4,521       4,456
      Concord town, MA..........................      17,804      17,763      17,720      17,799      17,704      17,449
      Everett city, MA..........................      34,773      34,891      34,969      34,971      35,003      35,140
      Framingham town, MA.......................      64,998      64,978      64,918      64,747      64,545      64,362
      Holliston town, MA........................      13,669      13,578      13,473      13,349      13,226      13,096
      Hopkinton town, MA........................      11,650      11,324      11,063      10,713      10,275       9,776
      Hudson town, MA...........................      17,922      17,813      17,750      17,680      17,608      17,545
      Lexington town, MA........................      29,583      29,568      29,508      29,389      29,226      28,849
      Lincoln town, MA..........................       7,951       7,940       7,935       7,886       7,835       7,807
      Littleton town, MA........................       8,170       8,062       7,922       7,823       7,740       7,632
      Malden city, MA...........................      52,507      52,624      52,733      52,728      52,720      52,864
      Marlborough city, MA......................      33,408      33,298      33,189      32,970      32,713      32,466
      Maynard town, MA..........................      10,473      10,442      10,411      10,378      10,313      10,255
      Medford city, MA..........................      55,559      55,760      55,934      56,036      56,061      56,313
      Melrose city, MA..........................      27,241      27,317      27,373      27,356      27,355      27,457
      Natick town, MA...........................      31,595      31,526      31,426      31,278      31,171      31,070
      Newton city, MA...........................      80,143      80,200      80,214      80,095      80,113      80,317
      North Reading town, MA....................      13,326      13,166      13,022      12,822      12,577      12,317
      Reading town, MA..........................      23,389      23,385      23,148      22,899      22,772      22,665
      Sherborn town, MA.........................       4,150       4,141       4,131       4,097       4,055       4,015
      Shirley town, MA..........................       7,392       7,268       7,144       7,451       7,408       7,385
      Somerville city, MA.......................      73,872      74,186      74,408      74,405      74,417      74,660
      Stoneham town, MA.........................      22,345      22,312      22,238      22,156      22,064      22,063
      Stow town, MA.............................       5,891       5,822       5,767       5,702       5,642       5,573
      Sudbury town, MA..........................      15,837      15,541      15,319      15,088      14,877      14,710
      Townsend town, MA.........................       9,232       9,161       9,064       8,974       8,874       8,751
      Wakefield town, MA........................      24,925      24,805      24,803      24,714      24,586      24,516
      Waltham city, MA..........................      58,634      58,328      57,597      57,103      56,958      56,911
      Watertown city, MA........................      32,279      32,387      32,457      32,425      32,420      32,527
      Wayland town, MA..........................      12,359      12,263      12,092      11,933      11,826      11,766
      Weston town, MA...........................      10,726      10,662      10,546      10,464      10,353      10,084
      Wilmington town, MA.......................      20,840      20,619      20,238      19,852      19,401      18,955
      Winchester town, MA.......................      20,476      20,375      20,357      20,326      20,256      20,223
      Woburn city, MA...........................      37,419      37,229      37,024      36,800      36,609      36,492
    Norfolk County, MA (pt.)....................     638,977     637,475     635,222     632,064     628,694     624,659
      Bellingham town, MA.......................      15,992      15,822      15,648      15,527      15,412      15,275
      Braintree town, MA........................      34,825      34,875      34,794      34,660      34,488      34,319
      Brookline town, MA........................      53,605      53,873      54,052      54,039      54,014      54,172
      Canton town, MA...........................      20,887      20,752      20,597      20,356      20,131      20,012
      Cohasset town, MA.........................       7,114       7,090       7,079       7,075       7,076       7,074
      Dedham town, MA...........................      23,585      23,658      23,678      23,677      23,664      23,691
      Dover town, MA............................       5,500       5,462       5,423       5,348       5,269       5,171
      Foxborough town, MA.......................      16,436      16,336      16,164      15,923      15,620      15,221
      Franklin city, MA.........................      28,878      28,052      27,200      26,457      25,733      24,721
      Holbrook town, MA.........................      11,135      11,095      11,080      11,073      11,055      11,057
      Medfield town, MA.........................      11,753      11,681      11,556      11,414      11,209      10,921
      Medway town, MA...........................      11,883      11,751      11,575      11,402      11,178      10,845
      Millis town, MA...........................       8,068       8,065       7,996       7,904       7,810       7,736
      Milton town, MA...........................      25,611      25,727      25,817      25,800      25,817      25,789
      Needham town, MA..........................      27,832      27,854      27,820      27,750      27,683      27,649
      Norfolk town, MA..........................      10,815      10,758      10,674      10,416      10,320      10,071
      Norwood town, MA..........................      28,734      28,803      28,860      28,872      28,851      28,859
      Plainville town, MA.......................       7,510       7,414       7,355       7,304       7,237       7,136
      Quincy city, MA...........................      85,777      85,715      85,732      85,730      85,623      85,696
      Randolph town, MA.........................      30,502      30,552      30,561      30,542      30,499      30,441
      Sharon town, MA...........................      16,936      16,888      16,755      16,640      16,446      16,076
      Stoughton town, MA........................      27,711      27,562      27,473      27,400      27,298      27,216
      Walpole town, MA..........................      22,916      22,789      22,592      22,289      22,044      21,773
      Wellesley town, MA........................      26,663      26,734      26,758      26,690      26,727      26,652
      Westwood town, MA.........................      13,219      13,109      12,995      12,895      12,809      12,750
      Weymouth town, MA.........................      54,686      54,821      54,855      54,856      54,791      54,700
      Wrentham town, MA.........................      10,404      10,237      10,133      10,025       9,890       9,636
    Plymouth County, MA (pt.)...................     240,151     236,901     233,665     230,794     228,354     226,036
      Carver town, MA...........................      11,881      11,642      11,445      11,277      11,113      10,986
      Duxbury town, MA..........................      15,534      15,337      15,156      14,965      14,800      14,644
      Hanover town, MA..........................      13,472      13,287      13,080      12,876      12,704      12,507
      Hingham town, MA..........................      20,528      20,411      20,317      20,204      20,077      19,908
      Hull town, MA.............................      10,561      10,517      10,486      10,449      10,418      10,413
      Kingston town, MA.........................      11,226      10,948      10,641      10,418      10,241       9,997
      Marshfield town, MA.......................      23,823      23,479      23,148      22,855      22,556      22,252
      Norwell town, MA..........................      10,092       9,955       9,806       9,680       9,516       9,415
      Pembroke town, MA.........................      16,828      16,598      16,259      15,958      15,698      15,383
      Plymouth town, MA.........................      50,689      49,788      48,937      48,316      47,915      47,583
      Rockland town, MA.........................      17,935      17,677      17,420      17,141      16,905      16,690
      Scituate town, MA.........................      17,681      17,529      17,360      17,157      17,005      16,915
      Wareham town, MA..........................      19,901      19,733      19,610      19,498      19,406      19,343
    Suffolk County, MA..........................     641,695     641,333     642,325     642,729     645,247     636,527
      Boston city, MA...........................     555,249     554,948     555,860     556,189     558,438     550,871
      Chelsea city, MA..........................      27,425      27,440      27,493      27,546      27,651      27,310
      Revere city, MA...........................      41,747      41,648      41,633      41,629      41,726      41,135
      Winthrop town, MA.........................      17,274      17,297      17,339      17,365      17,432      17,211
    Worcester County, MA (pt.)..................      85,480      84,070      82,937      82,173      81,656      81,244
      Berlin town, MA...........................       2,434       2,390       2,350       2,326       2,306       2,294
      Blackstone town, MA.......................       8,466       8,385       8,316       8,260       8,234       8,201
      Bolton town, MA...........................       3,402       3,354       3,316       3,279       3,256       3,239
      Harvard town, MA..........................      11,770      11,668      11,601      11,558      11,539      11,541
      Hopedale town, MA.........................       5,792       5,670       5,648       5,634       5,645       5,677
      Lancaster town, MA........................       6,634       6,553       6,474       6,478       6,436       6,489
      Mendon town, MA...........................       4,867       4,673       4,480       4,353       4,273       4,199
      Milford town, MA..........................      25,908      25,538      25,291      25,162      25,145      25,207
      Millville town, MA........................       2,570       2,529       2,475       2,433       2,404       2,349
      Southborough town, MA.....................       8,032       7,776       7,543       7,367       7,198       6,929
      Upton town, MA............................       5,605       5,534       5,443       5,323       5,220       5,119
    Rockingham County, NH (pt.).................       8,116       7,910       7,745       7,626       7,499       7,430
      Seabrook town, NH.........................       7,242       7,050       6,895       6,786       6,667       6,600
      South Hampton town, NH....................         874         860         850         840         832         830
  Brockton, MA PMSA.............................     253,547     250,761     248,265     246,102     244,098     242,186
    Bristol County (pt.)........................      32,448      32,092      31,729      31,400      31,020      30,547
      Easton town, MA...........................      21,547      21,363      21,162      20,955      20,721      20,414
      Raynham town, MA..........................      10,901      10,729      10,567      10,445      10,299      10,133
    Norfolk County (pt.)........................       4,603       4,614       4,608       4,605       4,598       4,595
      Avon town, MA.............................       4,603       4,614       4,608       4,605       4,598       4,595
    Plymouth County (pt.).......................     216,496     214,055     211,928     210,097     208,480     207,044
      Abington town, MA.........................      14,941      14,850      14,761      14,616      14,449      14,281
      Bridgewater town, MA......................      24,786      24,325      23,875      23,676      23,294      22,849
      Brockton city, MA.........................      93,653      93,279      93,036      92,689      92,572      92,666
      East Bridgewater town, MA.................      12,825      12,582      12,335      12,126      11,950      11,752
      Halifax town, MA..........................       7,325       7,121       6,926       6,838       6,793       6,755
      Hanson town, MA...........................       9,885       9,705       9,578       9,477       9,384       9,306
      Lakeville town, MA........................       9,135       8,922       8,758       8,607       8,456       8,288
      Middleborough town, MA....................      19,911      19,651      19,389      19,101      18,833      18,586
      Plympton town, MA.........................       2,723       2,685       2,651       2,620       2,585       2,535
      West Bridgewater town, MA.................       6,824       6,742       6,697       6,633       6,570       6,525
      Whitman town, MA..........................      14,488      14,193      13,922      13,714      13,594      13,501
  Fitchburg-Leominster, MA PMSA.................     142,620     141,556     140,457     139,268     138,827     138,982
    Middlesex County (pt.)......................       3,032       3,000       2,967       2,925       2,885       2,846
      Ashby town, MA............................       3,032       3,000       2,967       2,925       2,885       2,846
    Worcester County (pt.)......................     139,588     138,556     137,490     136,343     135,942     136,136
      Ashburnham town, MA.......................       5,636       5,566       5,512       5,448       5,416       5,428
      Fitchburg city, MA........................      40,407      40,322      40,262      40,137      40,312      40,664
      Gardner city, MA..........................      20,377      20,276      20,215      20,170      20,195      20,273
      Leominster city, MA.......................      40,358      40,035      39,543      38,980      38,594      38,455
      Lunenburg town, MA........................       9,411       9,313       9,216       9,096       9,029       9,008
      Templeton town, MA........................       7,220       7,149       7,082       7,002       6,951       6,900
      Westminster town, MA......................       6,821       6,711       6,628       6,561       6,503       6,453
      Winchendon town, MA.......................       9,358       9,184       9,032       8,949       8,942       8,955
  Lawrence, MA-NH PMSA..........................     388,842     384,218     379,482     373,783     367,823     363,222
    Essex County, MA (pt.)......................     259,875     257,518     254,679     250,924     247,340     245,114
      Andover town, MA..........................      31,852      31,696      31,387      31,139      30,901      30,589
      Boxford town, MA..........................       9,174       8,999       8,733       8,501       8,286       7,954
      Georgetown town, MA.......................       7,756       7,591       7,401       7,273       7,152       6,988
      Groveland town, MA........................       5,954       5,892       5,771       5,651       5,561       5,491
      Haverhill city, MA........................      55,525      54,998      54,353      53,702      52,968      52,264
      Lawrence city, MA.........................      69,794      69,212      68,956      68,732      68,737      69,037
      Merrimac town, MA.........................       6,110       5,967       5,800       5,671       5,556       5,449
      Methuen city, MA..........................      42,364      42,049      41,578      41,190      40,848      40,557
      North Andover town, MA....................      27,284      27,110      26,777      25,215      23,570      23,156
      West Newbury town, MA.....................       4,062       4,004       3,923       3,850       3,761       3,629
    Rockingham County, NH (pt.).................     128,967     126,700     124,803     122,859     120,483     118,108
      Atkinson town, NH.........................       6,651       6,498       6,351       6,172       5,955       5,731
      Chester town, NH..........................       3,533       3,412       3,310       3,193       3,057       2,938
      Danville town, NH.........................       3,487       3,267       3,094       2,977       2,865       2,754
      Derry town, NH............................      32,170      31,916      31,702      31,474      31,115      30,730
      Fremont town, NH..........................       3,474       3,392       3,312       3,198       3,075       2,956
      Hampstead town, NH........................       8,005       7,811       7,677       7,561       7,393       7,276
      Kingston town, NH.........................       6,030       5,959       5,897       5,828       5,741       5,661
      Newton town, NH...........................       4,056       3,882       3,778       3,704       3,623       3,581
      Plaistow town, NH.........................       7,973       7,848       7,709       7,600       7,470       7,329
      Raymond town, NH..........................       9,998       9,912       9,829       9,713       9,566       9,465
      Salem town, NH............................      28,158      27,783      27,467      27,085      26,634      26,093
      Sandown town, NH..........................       5,001       4,915       4,825       4,720       4,591       4,417
      Windham town, NH..........................      10,431      10,105       9,852       9,634       9,398       9,177
  Lowell, MA-NH PMSA............................     297,189     295,069     292,785     289,854     287,176     284,879
    Middlesex County, MA (pt.)..................     285,889     284,030     282,002     279,312     276,845     274,821
      Billerica town, MA........................      39,900      39,613      39,221      38,801      38,397      38,068
      Chelmsford town, MA.......................      33,883      33,709      33,557      33,344      32,977      32,611
      Dracut town, MA...........................      28,196      28,081      27,896      27,635      27,350      27,061
      Dunstable town, MA........................       2,800       2,721       2,640       2,566       2,486       2,397
      Groton town, MA...........................       9,407       9,156       8,937       8,731       8,513       8,265
      Lowell city, MA...........................     101,103     101,206     101,353     101,064     100,981     101,514
      Pepperell town, MA........................      11,085      10,968      10,778      10,580      10,405      10,272
      Tewksbury town, MA........................      29,016      28,827      28,624      28,292      28,188      28,007
